Neighb ID,Name,MH_PC_Tot,MH_PC_F,MH_PC_M,Census_Pop,Med_Indiv_Income,Avg_Ind_Income,Unemploy_rate,Num_Households,Income_U5000,Income_5000to9999,Income_10000to14999,Income_15000to19999,Income_20000to29999,Income_30000to39999,Income_40000to49999,Income_50000to59999,Income_60000to79999,Income_80000to99999,Income_100000to124999,Income_125000to149999,Income_150000Plus,W_Rel,W_Non_Rel,Alone,  Age0to14,  Age15to24 ,  Age25to34 ,  Age35to44 ,  Age45to54 ,  Age55to64 ,  Age65to79,  Age80to99,  Non_immigrants,  Immigrants
116,Taylor-Massey,2369.6,1407.6,3409.9,15594,21990,28266,16.2,6295,285,335,360,400,900,785,690,530,785,475,360,205,180,515,745,1980,3040,1760,2545,2790,2320,1535,1100,505,6015,8690
117,The Beaches,482,584.2,366.3,21130,49465,81968,6.5,9370,300,105,170,270,460,590,645,565,1205,940,785,555,2750,300,860,3290,3695,2120,2585,3745,3720,2945,1800,515,16430,4055
118,Thistletown-Beaumond Heights,793.4,639.9,958.9,10138,23952,31134,11,3225,70,80,95,145,240,325,345,230,525,340,370,200,275,400,345,550,1820,1355,1275,1390,1465,1085,1190,545,3920,5965
119,Thorncliffe Park,272.3,236.4,313,19225,19785,27345,15.7,6715,165,145,265,530,975,1180,845,620,955,395,275,180,165,545,560,1895,5070,2215,3105,3210,2170,1510,1350,600,5730,12455
120,Trinity-Bellwoods,843.4,782.3,908.5,16802,24571,38853,8.1,6850,290,135,180,350,650,675,720,625,705,745,600,340,825,615,2515,2140,1735,1915,4080,2755,2295,1620,1745,655,9150,6995
121,University,1394.8,1229.1,1568.9,7782,23392,43490,11.5,3285,250,55,190,250,305,290,275,255,340,275,150,170,475,185,1425,1380,475,1690,1930,945,810,730,730,465,3905,2225
122,Victoria Village,794.8,757.9,834.7,17182,25472,33250,10.8,7280,220,110,275,630,915,825,900,635,1000,550,570,275,370,485,525,2610,2730,1895,2380,2480,2575,1945,2105,1055,7635,9005
123,Waterfront Communities-The Island,296.6,274,319,43361,47813,61595,5.1,26985,1690,475,915,970,1835,1720,1900,2070,4185,3220,2695,1485,3825,1180,4735,14935,2410,4705,17275,7715,4570,3460,2585,650,25280,15710
124,West Hill,1018.9,964.5,1081.4,26547,22980,31067,13.5,9695,260,330,635,710,1100,950,865,705,1260,970,770,490,640,795,855,2605,4945,3925,3055,3460,4220,3310,2690,915,13285,12840
125,West Humber-Clairville,632.2,496,771.7,34100,24341,30289,10,10130,160,140,165,415,845,870,875,1010,1710,1255,1060,650,905,1335,1540,1625,5975,5410,5115,4620,4900,3750,3315,990,12820,19680
126,Westminster-Branson,526.8,431.5,643.9,25446,21964,31799,9.1,10090,320,225,380,880,1345,1280,895,680,1360,920,665,415,670,830,1255,2730,3540,3180,3485,3515,3810,3205,2910,1780,6765,17820
127,Weston,919.6,864.4,985,18170,25154,32910,10,7910,315,160,455,590,995,1035,845,815,875,640,450,350,360,705,830,3060,3200,2370,2830,2580,2825,2140,1550,665,8850,8615
128,Weston-Pellam Park,589.5,453.6,726.9,12010,23341,29769,12.3,4395,110,205,240,345,560,360,340,330,575,520,335,170,320,480,605,1245,2030,1635,1915,1840,1955,1380,915,340,5515,6230
129,Wexford/Maryvale,579.3,432.8,743.2,27018,27133,33155,10,9980,215,185,235,490,850,1060,965,1045,1485,1330,830,535,720,1035,1005,2475,4290,3465,3195,3595,4580,3295,2915,1680,13475,12840
130,Willowdale East,193.8,187.1,201.5,45041,29516,44669,7.9,19635,1680,515,560,865,1285,1415,1475,1530,2735,2205,1625,1170,2560,1565,1955,6485,4995,6480,9835,7110,6590,4965,3595,1465,13955,28535
131,Willowdale West,293.5,247.6,348,15004,28991,43697,6.4,6680,410,125,135,490,580,465,530,540,845,680,605,360,870,485,690,2360,1670,1705,2655,2090,2025,1885,1920,1050,5995,8365
132,Willowridge-Martingrove-Richview,486.6,384,607.6,21343,29286,39001,8.1,8150,170,60,165,285,745,860,870,570,1185,965,755,555,890,605,485,1980,3380,2680,2340,2650,3210,2570,2870,1640,11445,9700
133,Woburn,454.3,429.8,482.5,53350,22308,29806,13.3,18380,745,305,755,1150,1890,2040,1875,1815,2680,1645,1445,830,1160,1770,2100,3990,10290,7605,7650,7630,7535,5250,5440,1990,20845,30500
134,Woodbine Corridor,798.7,659,955.1,11703,36625,49789,7,5210,205,100,265,240,485,325,270,400,525,570,525,440,850,245,510,1860,2035,1120,1680,2350,2090,1380,795,255,8365,3160
135,Woodbine-Lumsden,750,638,868.9,7826,31780,41302,8.4,3480,175,70,80,260,210,235,250,335,480,370,425,275,300,270,435,1170,1070,770,1105,1320,1435,1065,805,265,5210,2545
136,Wychwood,929.7,616.6,1317.1,13986,26764,45108,7.6,5530,255,110,280,430,550,510,365,365,545,560,490,275,765,325,960,1865,1885,1525,2100,2105,1875,1610,1630,1255,7585,4960
137,Yonge-Eglinton,431,469.9,386.1,10578,45403,76029,5.7,5205,180,80,210,170,400,415,300,420,620,425,370,360,1250,190,560,2255,1550,1115,2135,1735,1370,1385,965,320,7555,2720
138,Yonge-St.Clair,662.8,687.9,633.9,11652,50211,101019,7,6785,280,130,145,230,410,490,520,665,835,580,510,315,1635,190,760,3565,970,920,2480,1745,1465,1575,1735,750,7935,3175
139,York University Heights,607.9,482.9,740.2,27713,21207,26759,11.4,10310,750,310,500,675,1145,1150,975,1005,1530,820,680,300,445,1215,2405,2855,4420,5040,4950,3625,3685,2490,2590,925,10180,15935
140,Yorkdale-Glen Park,495.5,570.1,403.1,14687,24423,34879,10.2,5245,100,110,230,270,610,520,615,455,735,415,490,230,460,545,570,1365,2150,1680,1785,1905,2110,1615,2055,1385,6130,7300
