Neighb ID,Name,Mental_Health_Cases,Total Pop,Median Income,Average Income,Unemployment rate
101,Regent Park,130,7210,17906,28246,7
102,Rexdale-Kipling,109,8220,25922,32775,15.8
103,Rockcliffe-Smythe,231,16985,23849,31526,11.2
104,Roncesvalles,220,12030,30012,44827,11.5
105,Rosedale-Moore Park,161,17075,53720,137433,6.4
106,Rouge,183,33920,28461,36687,5.9
107,Runnymede-Bloor West Village,95,7320,38200,62301,9.9
108,Rustic,63,7040,22326,28923,6.9
109,Scarborough Village,162,11900,21617,31337,14.4
110,South Parkdale,751,17785,21474,30198,14
111,South Riverdale,353,21050,29358,44138,13
112,St.Andrew-Windfields,118,13740,38086,86730,7.2
113,Steeles,85,20430,19938,28731,8.5
114,Stonegate-Queensway,144,19500,38899,55143,11.1
115,Tam O'Shanter-Sullivan,188,21645,21185,30311,8
116,Taylor-Massey,559,11795,21990,28266,9.8
117,The Beaches,158,16390,49465,81968,16.2
118,Thistletown-Beaumond Heights,121,7625,23952,31134,6.5
119,Thorncliffe Park,71,13035,19785,27345,11
120,Trinity-Bellwoods,245,14525,24571,38853,15.7
121,University,195,6990,23392,43490,8.1
122,Victoria Village,215,13525,25472,33250,11.5
123,Waterfront Communities-The Island,238,40125,47813,61595,10.8
124,West Hill,398,19530,22980,31067,5.1
125,West Humber-Clairville,323,25545,24341,30289,13.5
126,Westminster-Branson,215,20405,21964,31799,10
127,Weston,255,13865,25154,32910,9.1
128,Weston-Pellam Park,108,9160,23341,29769,10
129,Wexford/Maryvale,243,20975,27133,33155,12.3
130,Willowdale East,146,37660,29516,44669,10
131,Willowdale West,75,12775,28991,43697,7.9
132,Willowridge-Martingrove-Richview,162,16645,29286,39001,6.4
133,Woburn,359,39510,22308,29806,8.1
134,Woodbine Corridor,146,9140,36625,49789,13.3
135,Woodbine-Lumsden,96,6400,31780,41302,7
136,Wychwood,213,11455,26764,45108,8.4
137,Yonge-Eglinton,74,8585,45403,76029,7.6
138,Yonge-St.Clair,138,10410,50211,101019,5.7
139,York University Heights,262,21550,21207,26759,7
140,Yorkdale-Glen Park,116,11705,24423,34879,11.4
,,,,,,10.2
